id;titolo;autore;genere;anno;prezzo;copertina
1;deposit Fresh;Shoes Rete;and Cameroon;65790;71316;e-business Credit Handcrafted
2;Brescia globale Bedfordshire;Towels Chicken Mouse;sistemica;79157;54780;Moderazione
3;EXE payment Cheese;transmitting Piazza;Niger;68061;37393;Incredible white
4;bluetooth Concetto;bluetooth;Solutions invoice Credit;90468;10629;sexy Product
5;Balboa;Soft Berkshire;TCP virtuale;23064;34031;dell'arcipelago
6;Buckinghamshire;Shoes Intelligent;Swiss;57862;98052;blue Direct Facilitator
7;Lituania salmon transmitting;neural;Tasty Cambridgeshire backing;8321;71667;Piazza synthesizing Accounts
8;web interface;invoice Steel;withdrawal Rubber Israele;65161;93614;copying internet
9;Norfolk;bandwidth Account;Iran generating;95569;76400;Frozen Incredible
10;Rubber;Dinar Fish Associate;Rotonda relazioni object-oriented;93614;31662;Investor JBOD metodologie
